"","homevalue_city$StateName","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2017","X2019"
"1","AK",263449.2075,262143,264670.6475,270126.8325,274421.2075,283270.8525,289734.4175,295044.75,295044.75,310818.2075
"2","AL",110102.407619048,106573.94047619,105574.859047619,106776.93,109209.00952381,111675.426666667,114455.699047619,117762.47952381,117762.47952381,129246.929047619
"3","AR",85808.429,84229.3555,85058.595,86979.377,87723.3285,89481.1335,92157.8585,95797.5835,95797.5835,104122.355
"4","AZ",155146.022727273,138801.069090909,141369,158242.235454545,171308.832727273,179018.666363636,188852.771818182,200386.380909091,200386.380909091,226378.667272727
"5","CA",276547.444242424,258747.012424242,257321.268484848,301946.72030303,343168.396060606,363035.782121212,388591.197575758,414055.436969697,414055.436969697,454659.345454545
"6","CO",257843.84,246500.707058824,249214.517647059,261072.229411765,278976.610588235,301981.198235294,325392.641764706,347750.665882353,347750.665882353,388952.452352941
"7","CT",282598.352,267812.084,251828.532,256767.85,260135.384,259117.452,259811.6,265512.3,265512.3,274859.668
"8","DC",340851.33,334805.25,338330.17,362924.42,381258.42,382993.42,389114.33,402652,402652,430876
"9","DE",229388.29,214473.415,205475.665,207763.045,212125.585,217016.665,221040.92,225398.335,225398.335,243222.58
"10","FL",150364.579310345,139812.243103448,139067.684827586,151001.145517241,164972.825862069,176351.111724138,188306.996896552,200693.835172414,200693.835172414,224231.677931034
"11","GA",105787.306486486,98197.1959459459,94756.6664864865,99069.5754054054,105579.895675676,110897.434864865,116553.08972973,122221.610810811,122221.610810811,137044.161891892
"12","HI",479410.06,473746.6,471099.0675,489220.8775,504746.125,511190.5925,530555.75,558254.44,558254.44,601909.4375
"13","IA",117905.508571429,117265.638571429,117985.166190476,119839.254285714,123279.857619048,127484.475238095,131469.069047619,136882.213809524,136882.213809524,146104.667619048
"14","ID",182920.034615385,167730.183846154,170072.814615385,182100.391538462,191061.153846154,199799.679230769,213298.512307692,230385.115384615,230385.115384615,279540.533076923
"15","IL",99387.3381481481,96205.1762962963,94883.832962963,96159.1144444445,99296.2696296296,101551.938518519,103852.207407407,106749.954814815,106749.954814815,112785.870740741
"16","IN",100374.873055556,99414.1488888889,99930.3352777778,101227.9275,103735.777777778,107521.963055556,110967.8825,116494.753888889,116494.753888889,131799.541111111
