RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"New York, NY",Msa,NY,401741.67,388544.50,375295.83,383469.00,401956.83,412088.00,423640.25,443015.58,467107.75,479295.75,
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,430945.25,407336.33,401906.17,471111.50,516914.17,542729.08,579047.50,615097.75,657881.92,665845.67,
"Chicago, IL",Msa,IL,210923.00,191348.58,178792.00,186563.58,200250.33,206632.75,214552.58,226425.92,236358.50,241378.08,
"Dallas-Fort Worth, TX",Msa,TX,151562.67,145684.08,146936.50,156153.67,168542.33,184517.42,204036.08,224157.33,242696.00,253455.33,
"Philadelphia, PA",Msa,PA,228732.58,215628.08,206747.25,208801.17,213554.50,215714.25,219252.42,227537.50,238341.75,247333.50,
"Houston, TX",Msa,TX,151997.42,145558.75,145378.92,155682.17,171306.67,186715.17,195553.83,202255.50,209948.67,217868.67,
"Washington, DC",Msa,DC,340851.33,334805.25,338330.17,362924.42,381258.42,382993.42,389114.33,402652.00,417210.58,430876.00,
"Miami-Fort Lauderdale, FL",Msa,FL,178542.75,164749.92,167018.17,191358.50,220358.42,236770.50,255109.50,272374.92,289454.08,300834.83,
"Atlanta, GA",Msa,GA,155157.00,136778.75,133662.08,148998.08,167731.92,178382.58,190454.58,204569.17,223658.42,238444.92,
"Boston, MA",Msa,MA,355262.58,344063.92,339020.50,362666.08,385729.83,403276.92,425282.00,450047.58,477845.25,488957.58,
"San Francisco, CA",Msa,CA,584242.25,544928.92,550755.42,676220.67,768722.50,850438.67,927837.50,980400.33,1102164.42,1102653.25,
"Detroit, MI",Msa,MI,99935.42,91905.17,93652.67,108287.67,125760.50,133446.67,142731.75,154958.17,168665.00,178239.92,
"Riverside, CA",Msa,CA,208378.92,202436.00,202942.92,242146.67,287268.67,301198.75,319706.75,339697.25,366099.42,379944.75,
"Phoenix, AZ",Msa,AZ,154108.25,136208.75,150881.92,183806.25,200466.50,211300.42,226008.42,240306.92,258332.92,274057.92,
"Seattle, WA",Msa,WA,309438.33,277244.75,266652.58,302027.92,331017.75,359084.42,400541.50,451754.17,504124.00,510047.08,
"Minneapolis-St Paul, MN",Msa,MN,208333.33,188111.25,183559.17,203580.00,221159.83,228680.08,241116.33,256235.33,273876.42,286228.50,
"San Diego, CA",Msa,CA,384445.58,362873.92,361405.83,422114.00,461313.00,478850.25,510905.33,545522.42,583565.83,591899.08,
"St. Louis, MO",Msa,MO,156277.67,146511.58,141308.33,143861.92,146784.17,151016.75,157199.50,165028.58,172237.50,179753.67,
"Tampa, FL",Msa,FL,140367.58,124331.08,122120.83,136476.00,151064.67,162028.33,177844.67,194555.42,211664.83,223665.25,
"Baltimore, MD",Msa,MD,276359.75,258050.83,251380.58,260782.67,269335.75,267988.83,272954.17,281442.00,290096.17,294678.08,
"Denver, CO",Msa,CO,245661.67,235840.17,241839.08,267029.33,291206.08,327070.92,365051.75,397240.75,426712.17,442329.67,
"Pittsburgh, PA",Msa,PA,124585.42,122574.25,123356.17,126658.92,130341.00,134282.17,139912.25,144360.33,152154.50,159285.25,
"Portland, OR",Msa,OR,259982.25,237649.67,235948.17,265121.75,289542.67,315103.75,354254.25,385354.17,406510.33,415825.75,
"Charlotte, NC",Msa,NC,167527.33,156172.08,152709.92,158534.33,167974.00,175949.83,187612.75,203415.33,220899.83,235140.00,
"Sacramento, CA",Msa,CA,245578.00,224119.92,219962.33,273220.83,311588.00,323676.08,349559.83,379139.67,406466.75,418879.92,
"San Antonio, TX",Msa,TX,148045.58,143426.58,143836.17,149564.75,158259.42,168463.08,178836.25,190045.00,199291.17,209200.83,
"Orlando, FL",Msa,FL,150891.75,135066.00,137026.75,158788.25,179621.58,189419.25,205021.75,221894.25,240684.17,255301.83,
