RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,Country,,176216.8333,166736.5,165049.8333,175842.1667,187338.0833,195892.1667,206414.9167,219085.3333,233347.9167,244012.6667
"New York, NY",Msa,NY,401741.6667,388544.5,375295.8333,383469,401956.8333,412088,423640.25,443015.5833,467107.75,479295.75
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,430945.25,407336.3333,401906.1667,471111.5,516914.1667,542729.0833,579047.5,615097.75,657881.9167,665845.6667
"Chicago, IL",Msa,IL,210923,191348.5833,178792,186563.5833,200250.3333,206632.75,214552.5833,226425.9167,236358.5,241378.0833
"Dallas-Fort Worth, TX",Msa,TX,151562.6667,145684.0833,146936.5,156153.6667,168542.3333,184517.4167,204036.0833,224157.3333,242696,253455.3333
"Philadelphia, PA",Msa,PA,228732.5833,215628.0833,206747.25,208801.1667,213554.5,215714.25,219252.4167,227537.5,238341.75,247333.5
"Houston, TX",Msa,TX,151997.4167,145558.75,145378.9167,155682.1667,171306.6667,186715.1667,195553.8333,202255.5,209948.6667,217868.6667
"Washington, DC",Msa,DC,340851.3333,334805.25,338330.1667,362924.4167,381258.4167,382993.4167,389114.3333,402652,417210.5833,430876
"Miami-Fort Lauderdale, FL",Msa,FL,178542.75,164749.9167,167018.1667,191358.5,220358.4167,236770.5,255109.5,272374.9167,289454.0833,300834.8333
"Atlanta, GA",Msa,GA,155157,136778.75,133662.0833,148998.0833,167731.9167,178382.5833,190454.5833,204569.1667,223658.4167,238444.9167
"Boston, MA",Msa,MA,355262.5833,344063.9167,339020.5,362666.0833,385729.8333,403276.9167,425282,450047.5833,477845.25,488957.5833
"San Francisco, CA",Msa,CA,584242.25,544928.9167,550755.4167,676220.6667,768722.5,850438.6667,927837.5,980400.3333,1102164.417,1102653.25
"Detroit, MI",Msa,MI,99935.41667,91905.16667,93652.66667,108287.6667,125760.5,133446.6667,142731.75,154958.1667,168665,178239.9167
"Riverside, CA",Msa,CA,208378.9167,202436,202942.9167,242146.6667,287268.6667,301198.75,319706.75,339697.25,366099.4167,379944.75
"Phoenix, AZ",Msa,AZ,154108.25,136208.75,150881.9167,183806.25,200466.5,211300.4167,226008.4167,240306.9167,258332.9167,274057.9167
"Seattle, WA",Msa,WA,309438.3333,277244.75,266652.5833,302027.9167,331017.75,359084.4167,400541.5,451754.1667,504124,510047.0833
