,Statename,homevalue_city$StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Alaska,AK,263449.2075,262143,264670.6475,270126.8325,274421.2075,283270.8525,289734.4175,295044.75,295044.75,310818.2075
2,Alabama,AL,110102.4076,106573.9405,105574.859,106776.93,109209.0095,111675.4267,114455.699,117762.4795,117762.4795,129246.929
3,Arkansas,AR,85808.429,84229.3555,85058.595,86979.377,87723.3285,89481.1335,92157.8585,95797.5835,95797.5835,104122.355
4,Arizona,AZ,155146.0227,138801.0691,141369,158242.2355,171308.8327,179018.6664,188852.7718,200386.3809,200386.3809,226378.6673
5,California,CA,276547.4442,258747.0124,257321.2685,301946.7203,343168.3961,363035.7821,388591.1976,414055.437,414055.437,454659.3455
6,Colorado,CO,257843.84,246500.7071,249214.5176,261072.2294,278976.6106,301981.1982,325392.6418,347750.6659,347750.6659,388952.4524
7,Connecticut,CT,282598.352,267812.084,251828.532,256767.85,260135.384,259117.452,259811.6,265512.3,265512.3,274859.668
8,District of Columbia,DC,340851.33,334805.25,338330.17,362924.42,381258.42,382993.42,389114.33,402652,402652,430876
9,Delaware,DE,229388.29,214473.415,205475.665,207763.045,212125.585,217016.665,221040.92,225398.335,225398.335,243222.58
10,Florida,FL,150364.5793,139812.2431,139067.6848,151001.1455,164972.8259,176351.1117,188306.9969,200693.8352,200693.8352,224231.6779
11,Georgia,GA,105787.3065,98197.19595,94756.66649,99069.57541,105579.8957,110897.4349,116553.0897,122221.6108,122221.6108,137044.1619
12,Hawaii,HI,479410.06,473746.6,471099.0675,489220.8775,504746.125,511190.5925,530555.75,558254.44,558254.44,601909.4375
13,Iowa,IA,117905.5086,117265.6386,117985.1662,119839.2543,123279.8576,127484.4752,131469.069,136882.2138,136882.2138,146104.6676
14,Idaho,ID,182920.0346,167730.1838,170072.8146,182100.3915,191061.1538,199799.6792,213298.5123,230385.1154,230385.1154,279540.5331
15,Illinois,IL,99387.33815,96205.1763,94883.83296,96159.11444,99296.26963,101551.9385,103852.2074,106749.9548,106749.9548,112785.8707
16,Indiana,IN,100374.8731,99414.14889,99930.33528,101227.9275,103735.7778,107521.9631,110967.8825,116494.7539,116494.7539,131799.5411
17,Kansas,KS,100430.3026,101504.2674,103578.9195,104994.6179,107124.3742,110023.0137,114206.1253,118752.0305,118752.0305,127237.4342
18,Kentucky,KY,103142.3045,101088.5295,100842.75,101678.9955,103948.5675,107552.1915,111230.3375,117151.404,117151.404,128974.117
19,Louisiana,LA,125353.8306,125119.9929,126661.3629,128932.8918,131831.7471,136104.2124,137890.1406,140318.2771,140318.2771,144300.7641
20,Massachusetts,MA,319451.8457,309115.75,302353.9657,314887.8086,327030.2971,335932.8929,346141.7629,363976.7857,363976.7857,395495.1771
21,Maryland,MD,209121,197924.4017,193103.1817,201991.5,205613.0417,206573.9717,206541.0817,211221.4867,211221.4867,225103.6933
22,Maine,ME,170591.21,167449.4375,165158.8325,167133.895,166626.4575,169670.1675,175159.04,184522.6225,184522.6225,204557.5825
23,Michigan,MI,101940.4079,98193.68121,98714.2303,105563.3664,113070.1064,118174.1488,123295.3052,131131.0052,131131.0052,148156.2603
24,Minnesota,MN,140282.9855,135342.9705,136825.8515,143420.833,150748.125,155319.3835,163905.509,175004.803,175004.803,194712.867
25,Missouri,MO,104832.9748,103053.3868,103637.9636,105251.4404,108465.4388,112687.3052,117490.6792,123245.9284,123245.9284,134996.2508
26,Mississippi,MS,99617.15059,101511.2224,103689.0006,103490.74,104340.3688,107653.21,110574.8418,113527.29,113527.29,121714.7453
27,Montana,MT,210026.44,202848.72,206070.8071,216948.0114,228520.4543,238061.0829,247064.1643,259541.2871,259541.2871,292149.5471
28,North Carolina,NC,150350.8605,144061.3289,140734.4745,141250.9408,144072.5642,147473.4739,151843.3142,157744.3966,157744.3966,173025.4918
